Entity,Code,Year,Oil Consumption - TWh
Africa (BP),,1989,1123.926513671875
Africa (BP),,1990,1142.40283203125
Africa (BP),,1991,1148.7052001953125
Africa (BP),,1992,1170.524658203125
Africa (BP),,1993,1180.0767822265625
Africa (BP),,1994,1221.8846435546875
Africa (BP),,1995,1266.78173828125
Africa (BP),,1996,1293.97119140625
Africa (BP),,1997,1332.2730712890625
Africa (BP),,1998,1363.5086669921875
Africa (BP),,1999,1414.5601806640625
Africa (BP),,2000,1420.386474609375
Africa (BP),,2001,1432.664306640625
Africa (BP),,2002,1479.1666259765625
Africa (BP),,2003,1524.8150634765625
Africa (BP),,2004,1586.5107421875
Africa (BP),,2005,1654.9193115234375
Africa (BP),,2006,1673.716796875
Africa (BP),,2007,1734.7408447265625
Africa (BP),,2008,1824.8509521484375
Africa (BP),,2009,1885.9764404296875
Africa (BP),,2010,1966.214599609375
Africa (BP),,2011,1934.1708984375
Africa (BP),,2012,2046.8299560546875
Africa (BP),,2013,2121.44140625
Africa (BP),,2014,2143.33349609375
Africa (BP),,2015,2199.14501953125
Africa (BP),,2016,2210.926025390625
Africa (BP),,2017,2233.08984375
Africa (BP),,2018,2257.501953125
Africa (BP),,2019,2262.0361328125
Africa (BP),,2020,2011.0526123046875
Africa (BP),,2021,2183.5419921875
Algeria,DZA,1965,15.405251502990723
Algeria,DZA,1966,20.272705078125
Algeria,DZA,1967,18.942031860351562
Algeria,DZA,1968,20.167301177978516
Algeria,DZA,1969,21.30592918395996
Algeria,DZA,1970,24.347681045532227
Algeria,DZA,1971,27.44005012512207
Algeria,DZA,1972,30.121414184570312
Algeria,DZA,1973,32.90034484863281
Algeria,DZA,1974,36.54384231567383
Algeria,DZA,1975,40.63066864013672
Algeria,DZA,1976,46.71773147583008
Algeria,DZA,1977,52.80649185180664
Algeria,DZA,1978,54.60794448852539
Algeria,DZA,1979,65.31861877441406
Algeria,DZA,1980,66.20243072509766
Algeria,DZA,1981,71.32307434082031
Algeria,DZA,1982,75.57341766357422
Algeria,DZA,1983,84.89241790771484
Algeria,DZA,1984,94.00200653076172
Algeria,DZA,1985,96.55380249023438
Algeria,DZA,1986,98.02125549316406
Algeria,DZA,1987,99.10052490234375
Algeria,DZA,1988,99.17259979248047
Algeria,DZA,1989,103.93666076660156
Algeria,DZA,1990,111.81161499023438
Algeria,DZA,1991,110.6277847290039
Algeria,DZA,1992,111.29265594482422
Algeria,DZA,1993,110.75487518310547
Algeria,DZA,1994,106.05089569091797
Algeria,DZA,1995,103.14228057861328
Algeria,DZA,1996,98.42208099365234
Algeria,DZA,1997,97.64341735839844
Algeria,DZA,1998,100.65874481201172
Algeria,DZA,1999,98.89834594726562
Algeria,DZA,2000,103.13247680664062
Algeria,DZA,2001,106.77533721923828
Algeria,DZA,2002,118.39723205566406
Algeria,DZA,2003,123.17411804199219
Algeria,DZA,2004,128.746826171875
Algeria,DZA,2005,134.21337890625
Algeria,DZA,2006,139.84571838378906
Algeria,DZA,2007,156.38999938964844
Algeria,DZA,2008,169.9158935546875
Algeria,DZA,2009,180.13442993164062
Algeria,DZA,2010,181.61192321777344
Algeria,DZA,2011,192.22764587402344
Algeria,DZA,2012,204.395263671875
Algeria,DZA,2013,213.57638549804688
Algeria,DZA,2014,221.92515563964844
Algeria,DZA,2015,236.1484832763672
Algeria,DZA,2016,229.56385803222656
Algeria,DZA,2017,225.51211547851562
Algeria,DZA,2018,229.52760314941406
Algeria,DZA,2019,237.48719787597656
Algeria,DZA,2020,211.63516235351562
Algeria,DZA,2021,219.8415985107422
Argentina,ARG,1965,275.2071838378906
Argentina,ARG,1966,283.8664855957031
Argentina,ARG,1967,290.72381591796875
Argentina,ARG,1968,296.7826232910156
Argentina,ARG,1969,307.9983215332031
Argentina,ARG,1970,278.42193603515625
Argentina,ARG,1971,296.48773193359375
Argentina,ARG,1972,295.1728515625
Argentina,ARG,1973,297.2388000488281
Argentina,ARG,1974,297.09722900390625
Argentina,ARG,1975,281.2694396972656
Argentina,ARG,1976,290.1952819824219
Argentina,ARG,1977,305.6309814453125
Argentina,ARG,1978,297.2691345214844
Argentina,ARG,1979,319.8497619628906
Argentina,ARG,1980,296.97796630859375
Argentina,ARG,1981,278.56591796875
Argentina,ARG,1982,265.0183410644531
Argentina,ARG,1983,268.7532043457031
Argentina,ARG,1984,255.6005859375
Argentina,ARG,1985,237.52023315429688
Argentina,ARG,1986,249.71896362304688
Argentina,ARG,1987,266.5530700683594
Argentina,ARG,1988,268.333740234375
Argentina,ARG,1989,246.32073974609375
Argentina,ARG,1990,229.95970153808594
Argentina,ARG,1991,240.2567138671875
Argentina,ARG,1992,252.69297790527344
Argentina,ARG,1993,247.75331115722656
Argentina,ARG,1994,261.4820556640625
Argentina,ARG,1995,259.5302734375
Argentina,ARG,1996,259.7977294921875
Argentina,ARG,1997,275.286376953125
Argentina,ARG,1998,283.2720947265625
Argentina,ARG,1999,286.9597473144531
Argentina,ARG,2000,264.8978271484375
Argentina,ARG,2001,245.29501342773438
Argentina,ARG,2002,232.81517028808594
Argentina,ARG,2003,237.42205810546875
Argentina,ARG,2004,254.6864471435547
Argentina,ARG,2005,266.75811767578125
Argentina,ARG,2006,281.35174560546875
Argentina,ARG,2007,313.74554443359375
Argentina,ARG,2008,317.0516662597656
Argentina,ARG,2009,303.0577087402344
Argentina,ARG,2010,328.1579895019531
Argentina,ARG,2011,340.0057678222656
Argentina,ARG,2012,361.25640869140625
Argentina,ARG,2013,383.78350830078125
Argentina,ARG,2014,379.9156188964844
Argentina,ARG,2015,387.30865478515625
Argentina,ARG,2016,375.2942199707031
Argentina,ARG,2017,370.8971862792969
Argentina,ARG,2018,353.210693359375
Argentina,ARG,2019,324.72259521484375
Argentina,ARG,2020,297.3770751953125
Argentina,ARG,2021,340.5950622558594
Asia,,1965,2232.485107421875
Asia,,1966,2505.8291015625
Asia,,1967,2878.504638671875
Asia,,1968,3250.342529296875
Asia,,1969,3744.90283203125
Asia,,1970,4295.11669921875
Asia,,1971,4780.21923828125
Asia,,1972,5166.904296875
Asia,,1973,5872.8994140625
Asia,,1974,5863.51416015625
Asia,,1975,5818.068359375
Asia,,1976,6275.46923828125
Asia,,1977,6687.2685546875
Asia,,1978,7108.48828125
Asia,,1979,7371.07080078125
Asia,,1980,6965.99267578125
Asia,,1981,6899.109375
Asia,,1982,6872.51904296875
Asia,,1983,7120.4736328125
Asia,,1984,7476.6640625
Asia,,1985,8199.693359375
Asia,,1986,8385.080078125
Asia,,1987,8673.916015625
Asia,,1988,9304.53515625
Asia,,1989,9747.5751953125
Asia,,1990,10316.576171875
Asia,,1991,10674.0966796875
Asia,,1992,11296.7236328125
Asia,,1993,11734.9140625
