Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40461721693,40934952064,42227447632,45029988561,49377522897,54515179581,61088384037,65668655501,71829810520,79148411662,87896095320,99271961775,113082820487,131321858814,160408697342,173834029689,206575564909,211612157029,218632867537,243072102612,273853826548,306214863625,313506525087,340547711782,355372558104,364756499451,377437927312,431316742081,507354351182,565055743243,593929550908,610328183643,592387689253,577170761956,578139279438,604031623433,628546387972,654986999856,634000000000,678412196271,744773415932,738981792355,760649334098,895540646635,1026690238278,1173108598779,1319264809591,1468820407783,1552989690722,1374625142157,1617343367486,1793326630175,1828366481522,1846597421835,1805749878440,1556508816217,1527994741907,1649265644244,1721853332870,1741576393906,1644037286481
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,113687586299,138544284709,144182133388,163431551780,153940455342,174938098827,149540752829,178280594413,191149211575,195866382433,205089699859,230686747153,259946510957,309488028133,300758100107,272972974765,312353631208,347768051312,360857912566,383373318084,426915712716,444731282436,564324670008,734547898224,863746717507,961603952954,1029043097559,1093997267277,1211346869600,1339395718863,1470550015078,1660287965664,1955347004966,2285965892364,2752131773359,3550342737010,4594307032668,5101703073089,6087163874511,7551500124197,8532229986994,9570406235660,10475682920598,11061553079872,11233276536745,12310409370894,13894817549380,14279937467431,14722730697890
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,215838448138,249985055484,299801542047,398374021954,445303484242,490636517211,519754453161,600498238019,740469983447,881345176609,950290856467,800472055387,776576439107,770684323248,725111123634,732534887058,1046259374944,1298176105550,1401233225303,1398967436804,1771671206876,1868945197407,2131571696932,2071323790370,2205074123177,2585792275147,2497244606187,2211989623280,2238990774703,2194204133816,1943145384190,1944107382550,2068624129494,2496128668172,2809187981127,2845802760851,2992196713085,3421229126745,3730027830672,3397791053070,3396354075664,3744408602684,3527344944140,3732743446219,3883920155292,3356235704120,3467498002104,3681732583769,3975347237443,3888326788627,3846413928654
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,62225478001,67461644222,75607529810,84759195106,94007851047,101537248148,110045852178,118972977486,129785441507,141903068680,148456359986,165966615366,203494148244,264429876252,285552373159,360832186018,372319038514,410279486494,506707848837,613953129818,701288419745,615552202776,584877732309,559869179792,530683779929,553138414367,771470783218,934173305686,1018847043277,1025211803414,1269179616914,1269276828276,1401465923172,1322815612694,1393982750473,1601094756210,1605675086550,1452884917959,1503108739159,1492647560196,1362248940483,1376465324385,1494286655374,1840480812641,2115742488205,2196126103718,2318593651988,2657213249384,2918382891460,2690222283968,2642609548930,2861408170265,2683825225093,2811077725704,2852165760630,2438207896252,2471285607082,2588740901640,2789593979065,2728870246706,2630317731455
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,73233967692,77741965703,81247564157,86561961812,94407558351,101824755079,108572752102,113116888211,107759910068,116464702803,130671946244,148113896325,169965034965,192537971583,206131369799,241756637168,232614555256,263066457352,335883029722,438994070309,564947710899,540765675241,515048916841,489618008186,461487097632,489285164271,601452653181,745162608269,910122732124,926884816754,1093169389205,1142797178131,1179659529660,1061388722256,1140489745944,1341614328547,1415390015601,1558202357564,1651618085459,1682174405436,1658193372674,1638656974233,1780082434053,2050919183673,2412045038447,2532796363636,2706014719411,3093407362945,2921431985294,2412389780340,2481579504998,2659882040935,2704017284862,2783251090199,3065521109395,2932784751846,2693247611032,2662484018736,2857316524863,2830813507747,2707743777174
India,IND,GDP (current US$),NY.GDP.MKTP.CD,37029883875,39232435784,42161481859,48421923459,56480289941,59554854575,45865462034,50134942203,53085455871,58447995017,62422483055,67350988021,71463193830,85515269586,99525899116,98472796457,102717164466,121487322474,137300295308,152991653793,186325345090,193490610032,200715145361,218262273410,212158234164,232511877842,248985994044,279033584092,296588994812,296042354986,320979026420,270105341879,288208430384,279296022988,327275583540,360281952717,392897054348,415867753864,421351477505,458820417338,468394937262,485441014539,514937948870,607699285434,709148514805,820381595513,940259888792,1216735441525,1198895582138,1341886602799,1675615335601,1823049927772,1827637859136,1856722121394,2039127446299,2103587813812,2294797980510,2651472946375,2701111782775,2870504096717,2622983732006
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,40385288344,44842760293,50383891899,57710743060,63175417019,67978153851,73654870011,81133120065,87942231678,97085082807,113395315985,124672365793,145260039841,175492055795,199564489431,227695851127,224717278437,257596313364,315058323066,393677161501,477256775944,430702851303,427272645669,443042373789,437887689002,452217492141,640386352773,805713128174,891608957156,928661332204,1181222653523,1246220156079,1320161644933,1064958075551,1099216688281,1174662070605,1312426527795,1241879604366,1270052525928,1252023758790,1143829832320,1167012796421,1270712309430,1574145823928,1803226967966,1857524312896,1947919708945,2210292636189,2398856598799,2191241872742,2134017843247,2291991045770,2087077032435,2141315327318,2159133919744,1835899237320,1875797463584,1956950469673,2091117091124,2004913357800,1886445268341
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,105628070343,123781880218,146601072686,172204199481,212609187919,240151807460,318031297492,432082670451,479625998613,521541905673,586161859000,721411786537,1013612173519,1055012119526,1105385973764,1218988935130,1134518001885,1243323592059,1318381627004,1398892744821,2078953333674,2532808573157,3071683013179,3054914166263,3132817652848,3584420077101,3908809463464,4454143876947,4998797547741,5545563663890,4923391533852,4492448605639,4098362709531,4635982224064,4968359075957,4374711694091,4182846045874,4519561645254,4893116005657,4831467035390,4601663122650,4579750920355,5106679115127,5289493117994,5759071769013,6233147172341,6272362996105,5212328181166,4896994405353,4444930651964,5003677627544,4930837369151,5036891740656,5148781948478,4975415241563
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,3958190759,2417558289,2814318517,3988784572,3458939358,3120833333,3928908381,4855907142,6119284294,7678581344,9005023184,9903499928,10862327878,13876531432,19544094741,21784297521,29902479339,38446487603,51972107438,66946900826,65398646758,72933350954,78358866335,87760360941,97510235986,101296177099,116836802995,147948259723,199590823957,246927292765,283367525715,330648530715,355525267405,392666101885,463617399963,566583427334,610169556840,569754543830,383330931042,497512659612,576178114168,547658231280,627246081417,702717332013,793175007858,934901071333,1053216909888,1172614086540,1047339010225,943941876219,1144066965324,1253223044719,1278427634343,1370795199976,1484318219634,1465773245547,1500111596236,1623901496836,1724845615629,1646739219510,1630525005469
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,543300000000,563300000000,605100000000,638600000000,685800000000,743700000000,815000000000,861700000000,942500000000,1019900000000,1073303000000,1164850000000,1279110000000,1425376000000,1545243000000,1684904000000,1873412000000,2081826000000,2351599000000,2627333000000,2857307000000,3207041000000,3343789000000,3634038000000,4037613000000,4338979000000,4579631000000,4855215000000,5236438000000,5641580000000,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577554457000,9062818202000,9630664202000,10252345464000,10581821399000,10936419054000,11458243878000,12213729147000,13036640230000,13814611414000,14451858656000,14712844084000,14448933025000,14992052727000,15542581104000,16197007349000,16784849196000,17527163695000,18238300569000,18745075687000,19542979183000,20611860934000,21433224697000,20936600000000
