Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Russian Federation;RUS;Oil production (TWh);;;;;;;;;;;;;;;;;;;;;;;;;;;6307.0185546875;6526.546875;6623.06396484375;6614.89990234375;6422.38818359375;5999.8125;5372.40869140625;4638.16015625;4127.1962890625;3693.43212890625;3614.010986328125;3522.4130859375;3575.294677734375;3539.47412109375;3544.451904296875;3798.94677734375;4090.033447265625;4462.376953125;4951.05126953125;5388.0732421875;5522.14990234375;5655.13671875;5783.958984375;5748.17626953125;5830.85009765625;5958.23095703125;6041.3623046875;6125.935546875;6189.76025390625;6250.20166015625;6333.14404296875;6495.11181640625;6495.89794921875;6604.50146484375;6668.51220703125;6098.8212890625;6238.865234375;
Saudi Arabia;SAU;Oil production (TWh);;750.4141235351562;854.0723266601562;948.2520751953125;1031.918212890625;1099.8026123046875;1291.211181640625;1523.1673583984375;1643.1688232421875;1793.610595703125;1892.7928466796875;2234.95458984375;2800.4423828125;3538.2236328125;4466.08984375;4996.7958984375;4179.08935546875;5085.3408203125;5447.44580078125;4936.23095703125;5675.56640625;5929.0126953125;5888.818359375;3956.3427734375;2794.450439453125;2547.398681640625;2001.2021484375;2937.739501953125;2484.262451171875;3178.578857421875;3153.7421875;3984.94580078125;4981.66162109375;5141.365234375;4992.8828125;5026.3212890625;5015.58740234375;5087.3779296875;5024.416015625;5178.77685546875;4751.15673828125;5099.9453125;4974.1142578125;4536.3173828125;5355.6123046875;5731.11669921875;6008.3857421875;5918.978515625;5686.3701171875;5930.99951171875;5338.25439453125;5388.18701171875;6079.0068359375;6387.4931640625;6261.744140625;6324.66796875;6606.2373046875;6823.462890625;6504.88427734375;6708.38916015625;6472.83935546875;6042.7490234375;5989.71728515625;
China;CHN;Oil production (TWh);;63.96500015258789;72.10600280761719;79.08399963378906;87.2249984741211;98.8550033569336;131.53529357910156;169.2165069580078;161.4243927001953;185.9636993408203;252.83619689941406;356.4595031738281;458.3382873535156;531.14208984375;623.4843139648438;754.2055053710938;896.2078247070312;1013.6707763671875;1089.033203125;1210.1014404296875;1234.5245361328125;1232.198486328125;1177.1885986328125;1187.6556396484375;1233.5941162109375;1332.914306640625;1452.5870361328125;1519.9246826171875;1560.0482177734375;1593.8914794921875;1600.753173828125;1608.5452880859375;1639.7137451171875;1651.9251708984375;1675.06884765625;1698.910400390625;1733.1025390625;1843.587646484375;1862.3118896484375;1862.8934326171875;1863.358642578125;1891.2706298828125;1916.972900390625;1940.651611328125;1972.2735595703125;2024.213134765625;2109.13427734375;2148.8251953125;2166.880615234375;2214.8125;2203.768798828125;2361.052734375;2359.442138671875;2412.96923828125;2441.826416015625;2458.919189453125;2495.332763671875;2322.336669921875;2227.21484375;2201.838134765625;2228.633544921875;2265.16357421875;2312.986083984375;
Iran, Islamic Rep.;IRN;Oil production (TWh);;622.100341796875;689.7171630859375;765.358642578125;855.4678955078125;984.0375366210938;1112.550048828125;1243.1639404296875;1517.8028564453125;1660.533935546875;1968.5372314453125;2239.786376953125;2659.602294921875;2950.658203125;3435.2353515625;3526.183349609375;3133.934814453125;3453.717041015625;3321.852294921875;3079.857177734375;1866.4425048828125;862.4578247070312;769.4381103515625;1396.675048828125;1428.5645751953125;1192.287109375;1283.38330078125;1194.3988037109375;1357.5194091796875;1365.1671142578125;1672.8421630859375;1893.234619140625;2027.933349609375;2043.1451416015625;2143.338623046875;2151.369873046875;2156.859130859375;2170.6435546875;2174.375732421875;2218.859375;2071.505126953125;2229.066650390625;2207.431640625;2083.1982421875;2350.304443359375;2428.723876953125;2417.540771484375;2449.531005859375;2480.164306640625;2505.398193359375;2409.959716796875;2465.9384765625;2471.704345703125;2098.968505859375;1973.28564453125;2024.1607666015625;2096.225341796875;2513.760009765625;2697.528076171875;2549.83203125;1841.3509521484375;1665.99462890625;1949.8636474609375;
Iraq;IRQ;Oil production (TWh);;552.0411987304688;569.6257934570312;571.8238525390625;659.0604858398438;716.7219848632812;752.1753540039062;797.431884765625;703.4815673828125;863.3792114257812;871.3318481445312;887.3721313476562;970.43798828125;842.125;1156.047119140625;1131.33203125;1299.1064453125;1390.0804443359375;1348.989501953125;1472.1065673828125;1996.280517578125;1524.38037109375;517.583984375;564.1025390625;632.1402587890625;704.0628051757812;812.226318359375;1083.797607421875;1363.6878662109375;1589.812255859375;1616.1876220703125;1224.6495361328125;162.15609741210938;304.0845642089844;259.7210693359375;288.36444091796875;302.6861572265625;332.23199462890625;664.5896606445312;1211.6783447265625;1491.8106689453125;1497.8922119140625;1440.634033203125;1208.0496826171875;767.864990234375;1162.372802734375;1045.9281005859375;1139.989501953125;1222.18994140625;1387.678955078125;1392.5465087890625;1405.062255859375;1579.3668212890625;1759.795166015625;1767.0057373046875;1846.958984375;2275.0126953125;2530.714599609375;2586.301025390625;2640.15478515625;2723.979736328125;2349.7001953125;2335.6455078125;
United Arab Emirates;ARE;Oil production (TWh);;;;9.280739784240723;28.214380264282227;105.78648376464844;158.93922424316406;202.75732421875;215.20437622070312;280.458740234375;353.58624267578125;439.082275390625;596.72607421875;679.2342529296875;863.1829833984375;945.412353515625;937.0767822265625;1093.5982666015625;1125.703125;1030.9652099609375;1031.0716552734375;974.6627807617188;861.6279907226562;749.4656372070312;705.9224243164062;676.1817016601562;650.8159790039062;751.535888671875;793.1449584960938;837.8946533203125;989.44775390625;1083.3515625;1242.6837158203125;1368.617431640625;1330.020751953125;1341.041259765625;1330.603271484375;1359.7685546875;1364.2869873046875;1413.2999267578125;1302.8958740234375;1413.316650390625;1377.1502685546875;1267.883544921875;1467.5858154296875;1526.739013671875;1588.11083984375;1693.980224609375;1670.5733642578125;1689.221435546875;1503.9122314453125;1572.53466796875;1750.2947998046875;1817.1358642578125;1892.977294921875;1900.3023681640625;2047.6063232421875;2121.07470703125;2049.489013671875;2054.865966796875;2099.728759765625;1937.3572998046875;1911.746337890625;
Kuwait;KWT;Oil production (TWh);;986.4566040039062;1010.681884765625;1141.3681640625;1223.371337890625;1346.672607421875;1384.1021728515625;1460.2218017578125;1469.9429931640625;1548.2808837890625;1638.7596435546875;1765.421630859375;1890.4505615234375;1946.2716064453125;1788.6990966796875;1510.39306640625;1236.849365234375;1278.262939453125;1172.068359375;1265.1077880859375;1507.4765625;1009.875;681.796142578125;496.1856994628906;639.7145385742188;706.2559814453125;645.3428344726562;690.7674560546875;606.0975952148438;733.2275390625;795.6162719726562;544.2466430664062;107.19351959228516;627.5028686523438;1123.2484130859375;1202.0443115234375;1219.8583984375;1222.6141357421875;1222.4786376953125;1279.3380126953125;1192.730224609375;1278.00244140625;1238.98486328125;1148.577392578125;1344.4739990234375;1433.8255615234375;1516.6807861328125;1555.5902099609375;1512.24755859375;1584.2684326171875;1407.5665283203125;1435.0906982421875;1638.555419921875;1790.64892578125;1761.1346435546875;1747.1170654296875;1724.1123046875;1776.30029296875;1685.98681640625;1707.854248046875;1667.531494140625;1515.858154296875;1524.609130859375;
Canada;CAN;Oil production (TWh);;296.669677734375;345.6668701171875;382.2199401855469;403.03765869140625;429.5773010253906;510.2566833496094;560.7073364257812;612.9142456054688;664.2978515625;723.5958251953125;814.8895263671875;874.1546630859375;1008.473876953125;1166.658935546875;1097.715576171875;948.7265625;875.7927856445312;878.9293823242188;874.458251953125;1003.3732299804688;968.4241333007812;876.4554443359375;867.1809692382812;913.6585083007812;974.7762451171875;996.5191650390625;997.1099243164062;1050.1236572265625;1105.9544677734375;1077.1761474609375;1078.7738037109375;1084.084716796875;1129.96826171875;1189.5296630859375;1240.8297119140625;1301.4705810546875;1342.7244873046875;1403.7891845703125;1454.7723388671875;1407.192138671875;1454.7484130859375;1467.3572998046875;1546.8189697265625;1635.5126953125;1688.1900634765625;1659.3553466796875;1756.111328125;1810.46875;1782.18115234375;1781.1636962890625;1868.13134765625;1978.6214599609375;2127.277587890625;2272.614013671875;2439.70654296875;2512.945556640625;2545.166748046875;2751.935302734375;2997.5751953125;3064.06494140625;2931.02392578125;3106.33203125;
United States;USA;Oil reserves;;;;;;;6414.47705078125;6731.2451171875;6988.7939453125;7457.9609375;7831.837890625;8176.19140625;8461.68359375;9119.9130859375;9655.255859375;9271.5068359375;9049.8388671875;9729.595703125;10271.533203125;10501.4140625;10257.833984375;9453.4716796875;8812.7548828125;8350.53125;8311.4755859375;8573.3173828125;8540.4384765625;8955.5888671875;9142.1533203125;9520.8837890625;9517.53125;9306.9130859375;9108.509765625;9297.38671875;9376.044921875;9619.7470703125;9597.52734375;9947.1396484375;10079.7685546875;10251.1123046875;10537.0927734375;10654.1337890625;10636.8486328125;10642.4130859375;10803.6826171875;11197.8671875;11214.078125;11070.9091796875;11001.755859375;10273.6953125;9737.244140625;9891.2275390625;9694.556640625;9472.587890625;9627.552734375;9693.265625;9890.71875;9961.576171875;10057.775390625;10299.73046875;10283.9326171875;9032.3974609375;9813.041015625;
Russian Federation;RUS;Oil reserves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15842759265.136719;15842759265.136719;15696459567.260742;15696459567.260742;15496026327.514648;15496026327.514648;15428475692.749023;15428475692.749023;15292079855.34668;15292079855.34668;15180661685.180664;14959977407.836914;14699377981.567383;14385245468.139648;14240816857.910156;14190199670.410156;14516647229.003906;14508344927.978516;14398922723.388672;14431168286.132812;14418768948.364258;14389052163.69629;14324239477.539062;14071555230.71289;13963977056.884766;14496986239.624023;14539085711.669922;14624914312.74414;14704497976.68457;14704497976.68457;;
Saudi Arabia;SAU;Oil reserves;;;;;;;;;;;;;;;;;;;;;;22919291833.496094;22894740832.51953;22572016717.529297;23030868182.373047;23421244915.771484;23391236749.26758;23153082049.560547;23131394915.771484;34780499383.54492;35470818334.96094;35510650231.93359;35591671032.71484;35628089599.609375;35648823498.53516;35651412634.27734;35661781665.03906;35660961633.30078;35674190368.65234;35674327734.375;35843737133.78906;35841281201.171875;35831869567.87109;35844557165.52734;35836373498.53516;36051883666.99219;36038380200.19531;36043837365.72266;36038109631.34766;36018191601.5625;36090075500.48828;36079981201.171875;36201241833.49609;36261940832.51953;36253619799.80469;36361239599.609375;36344460168.45703;36310772265.625;40368672265.625;40602323034.66797;40589639599.609375;40582683898.92578;;
China;CHN;Oil reserves;;;;;;;;;;;;;;;;;;;;;;1821297515.1062012;1812819084.1674805;1808509885.0250244;2029748308.1817627;2232130294.036865;2330761744.6899414;2340799848.9379883;2376563066.8640137;2357486662.2924805;2190378138.73291;2185089038.0859375;2116002144.6228027;2072340267.5628662;2241778414.916992;2217583055.8776855;2230830522.918701;2243028234.8632812;2321733330.5358887;2376473050.6896973;2061263204.9560547;2071956918.334961;2102128596.8780518;2115386730.5755615;2110885531.616211;2490510795.5932617;2489252910.6140137;2758049011.993408;2832005104.0649414;2889886544.7998047;2948643431.854248;3173756192.779541;3239069951.6296387;3331956757.3547363;3366694935.60791;3432704628.753662;3495449804.6875;3500544824.21875;3539334510.8032227;3572328300.476074;3541320069.885254;3541320069.885254;;
Iran, Islamic Rep.;IRN;Oil reserves;;;;;;;;;;;;;;;;;;;;;;7951574595.64209;7777528062.438965;7658587037.658691;7537054795.837402;8030413674.926758;8047600000;12666104083.251953;12666104083.251953;12666104083.251953;12666104083.251953;12664739791.870117;12666104083.251953;12666104083.251953;12666104083.251953;12862520416.259766;12780679583.740234;12630639791.870117;12630639791.870117;12780679583.740234;12698839791.870117;13575891833.496094;13514512249.75586;17826116333.007812;18175300000;18105736749.26758;18753636749.26758;18877759167.48047;18570859167.48047;18771367333.984375;18688163250.73242;20619587750.24414;21084712249.75586;21455720416.259766;21523920416.259766;21487091833.496094;21605759167.48047;21442079583.740234;21223840832.51953;21223840832.51953;21523920416.259766;21523920416.259766;;
Iraq;IRQ;Oil reserves;;;;;;;;;;;;;;;;;;;;;;4092000000;4364800000;8047600000;8866000000;8866000000;8866000000;9820800000;13640000000;13640000000;13640000000;13640000000;13640000000;13640000000;13640000000;13640000000;13640000000;15276800000;15345000000;15345000000;15345000000;15345000000;15686000000;15686000000;15686000000;15686000000;15686000000;15686000000;15686000000;15686000000;15686000000;15686000000;19518840832.51953;19136920416.259766;19670380200.195312;19514611633.30078;19437410015.86914;20291683282.470703;20081218182.373047;19780591217.041016;19780591217.041016;19780591217.041016;;
United Arab Emirates;ARE;Oil reserves;;;;;;;;;;;;;;;;;;;;;;4147923979.1870117;4388806221.008301;4413085612.487793;4411176020.812988;4431636228.942871;4499836228.942871;13258489599.609375;13381522457.885742;13381522457.885742;13381522457.885742;13380839791.870117;13380839791.870117;13380839791.870117;13380839791.870117;13380839791.870117;13380839791.870117;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;13339920416.259766;;
Kuwait;KWT;Oil reserves;;;;;;;;;;;;;;;;;;;;;;9265652041.625977;9238372457.885742;9159260208.129883;9138800000;12645643875.12207;12612089175.41504;12892801232.910156;12893210208.129883;12893210208.129883;13247850000;13234210208.129883;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13162600000;13503600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;13844600000;;
Canada;CAN;Oil reserves;;;;;;;;;;;;;;;;;;;;;;5391554142.76123;5479915684.509277;5498569845.581055;5523007936.096191;5528532743.835449;5584084690.856934;5606312962.341309;5619851811.218262;5656202215.576172;5632734010.314941;5496079051.208496;5469416572.570801;5406076405.334473;5387216716.003418;6567551460.266113;6597198521.42334;6675774316.40625;6656741879.272461;6795869421.386719;24764846105.95703;24757103674.316406;24680345373.535156;24606561248.779297;24538762939.453125;24494173193.359375;24558017034.91211;24464970489.501953;24392961712.646484;24054128344.726562;23872075054.93164;23849270263.671875;23757726416.015625;23694875354.003906;23602319995.117188;23482077117.91992;23394279608.154297;23260062890.625;23432386108.398438;23287871124.26758;23068637512.20703;22927150817.871094;;
